# diameter 	 R 
2.000000 	 1.000000 
2.500000 	 0.800000 
3.000000 	 0.666667 
3.500000 	 0.571429 
4.000000 	 0.500000 
4.500000 	 0.444444 
5.000000 	 0.400000 
5.500000 	 0.363636 
6.000000 	 0.333333 
6.500000 	 0.307692 
7.000000 	 0.285714 
7.500000 	 0.266667 
8.000000 	 0.250000 
8.500000 	 0.235294 
9.000000 	 0.222222 
9.500000 	 0.210526 
10.000000 	 0.200000 
10.500000 	 0.190476 
11.000000 	 0.181818 
11.500000 	 0.173913 
12.000000 	 0.166667 
12.500000 	 0.160000 
13.000000 	 0.153846 
13.500000 	 0.148148 
14.000000 	 0.142857 
14.500000 	 0.137931 
15.000000 	 0.133333 
15.500000 	 0.129032 
16.000000 	 0.125000 
16.500000 	 0.121212 
17.000000 	 0.117647 
17.500000 	 0.114286 
18.000000 	 0.111111 
18.500000 	 0.108108 
19.000000 	 0.105263 
19.500000 	 0.102564 
20.000000 	 0.100000 
